Country,Years,liters of pure alcohol,Percent of Obesity,Percent of Tobacco Use
Sierra Leone,19.1,3.22,8.7,13.5
Nigeria,18.6,4.49,8.9,3.7
Cameroon,18.5,4.09,11.4,7.3
Tanzania,18.2,7.81,8.4,8.7
Guinea-Bissau,18.0,3.21,9.5,9.0
Liberia,18.0,3.12,9.9,8.2
Burkina Faso,17.9,7.28,5.6,14.3
Burundi,17.7,4.07,5.4,11.8
Benin,17.0,1.25,9.6,6.9
Mozambique,17.0,1.46,7.2,14.3
Zambia,16.9,3.82,8.1,14.4
Malawi,16.8,2.04,5.8,10.8
"Congo, Democratic Republic of the",16.7,0.56,6.7,12.8
Chad,16.1,0.55,6.1,8.3
Mali,16.0,0.6,8.6,8.3
Uganda,15.7,6.82,5.3,8.4
Niger,14.8,0.11,5.5,7.4
